"StateFIPS","State","Year","Value","Data Comment",
"04","Arizona","2020","6,563,666","",
"06","California","2020","39,805,923","",
"08","Colorado","2020","6,641,350","",
"09","Connecticut","2020","2,732,244","",
"12","Florida","2020","20,589,518","",
"19","Iowa","2020","2,829,734","",
"20","Kansas","2020","2,831,908","",
"21","Kentucky","2020","4,511,155","",
"22","Louisiana","2020","5,068,376","",
"23","Maine","2020","680,428","",
"24","Maryland","2020","5,479,955","",
"25","Massachusetts","2020","9,231,351","",
"26","Michigan","2020","11,950,106","",
"27","Minnesota","2020","4,474,025","",
"29","Missouri","2020","5,314,867","",
"33","New Hampshire","2020","891,895","",
"34","New Jersey","2020","8,904,996","",
"35","New Mexico","2020","1,984,557","",
"36","New York","2020","16,664,537","",
"41","Oregon","2020","4,166,873","",
"42","Pennsylvania","2020","11,460,522","",
"44","Rhode Island","2020","1,035,989","",
"49","Utah","2020","3,192,929","",
"50","Vermont","2020","454,476","",
"53","Washington","2020","6,441,979","",
"55","Wisconsin","2020","4,072,615","",
